id,name,parent_id,color,label_tree_id,source_id
376312,Flatworms,376536,b8ec4c,2564,
376313,Fleshy,376214,e9f41e,2564,
376314,Flytrap,376509,f26a85,2564,
376315,Foliaceous,376477,e7c71d,2564,
376316,"Foliose / plate",376495,3f54f6,2564,
376317,Fourlobed,376509,15e6aa,2564,
376318,"Fractured mound",376285,01a9e5,2564,
376319,Free-living,376480,c3f151,2564,
376320,Gastropoda,376379,63e9d9,2564,
376321,glitter_star_msp3,376185,ffffff,2564,
376322,"Globose / saccate",376368,35c4fe,2564,
376323,"Globule xenophyophore",376400,f22021,2564,
376324,glyptonotus_antarcticus,376350,ed0c0c,2564,
376325,"Gravel (2-10mm)",376412,f46281,2564,
376326,Green,376178,53f95e,2564,
376327,Green,376354,25ee43,2564,
376328,Green,376299,39c615,2564,
376329,Green,376300,39c615,2564,
376330,Green,376306,39c615,2564,
376331,Green,376322,3bc823,2564,
376332,Green,376460,3bc823,2564,
376333,green_encr_algae,376295,5ef878,2564,
376334,green_sheet_algae_msp1,376332,3bc823,2564,
376335,Hard,376229,31e5fb,2564,
376336,"Hermit crabs",376269,f28442,2564,
376337,High,376442,24f497,2564,
376338,"High (>3m)",376337,0575f8,2564,
376339,himantothallus_msp1,376221,95560f,2564,
376340,holoth_msp1,376196,5900ff,2564,
376341,holoth_msp2,376196,ffffff,2564,
376342,holoth_msp3,376196,e82001,2564,
376343,holoth_msp4,376196,e9c301,2564,
376344,Holothurians,376286,ec9a26,2564,
376345,Hydrocorals,376241,d95ef8,2564,
376346,Hydroids,376241,42f36c,2564,
376347,Hydromedusae,376351,0afefc,2564,
376348,"Incomplete cup / curled fan",376275,33ff5f,2564,
376349,"Irregular urchins",376524,2409fd,2564,
376350,Isopods,376269,ed0c0c,2564,
376351,Jellies,376199,89ed3c,2564,
376352,"King crabs",376261,1a9afb,2564,
376353,Laminar,376298,1721e6,2564,
376354,Laminate,376368,f3365f,2564,
376355,"Large canopy-forming",376368,aae964,2564,
376356,"Large depression",376443,e535f7,2564,
376357,"Large mound",376285,9ef15d,2564,
376358,"Large rosette",376302,41f7e5,2564,
376359,large_yellow_msp3,376464,5ce6cf,2564,
376360,laternula,376231,c262e6,2564,
376361,light_brown_star_msp15,376185,34adf9,2564,
376362,limpet_msp1,376511,f0f279,2564,
376363,limpet_msp2,376511,60e3d2,2564,
376364,Lobsters,376269,816af5,2564,
376365,"Low (<1m)",376366,75eb8f,2564,
376366,"Low / moderate",376442,ef67f6,2564,
376367,"Lumpy xenophyophore",376400,4e14e7,2564,
376368,Macroalgae,376199,0b0feb,2564,
376369,"Margarella antarctica",376320,63e9d9,2564,
376370,Massive,376495,eac716,2564,
376371,Massive,376335,195cf0,2564,
376372,Massive,376485,4268f4,2564,
376373,"Massive soft corals",376203,e96467,2564,
376374,Matchstick,376518,9b57f6,2564,
376375,medium_yellow_star_msp13,376185,f8df9b,2564,
376376,Mesh,376518,3df37d,2564,
376378,"Moderate (1-3m)",376366,00caf3,2564,
376379,Molluscs,376199,4ef583,2564,
376380,"Mounded casts",376528,a6e763,2564,
376381,"Mounded trail",376264,b9e839,2564,
376382,"Mud / silt (<64um)",376454,07ef90,2564,
376383,Mushroom,376313,0cedb1,2564,
376384,"Mushroom (Fungiidae)",376480,e8663e,2564,
376385,nacella,376511,60e3d2,2564,
376386,Nemertea,376536,5ddcfe,2564,
376387,"Nest casts",376528,5ef742,2564,
376388,Non-burrowers,376202,c262e6,2564,
376389,Non-calcareous,376436,f047d0,2564,
376390,Non-fleshy,376214,fa0d67,2564,
376391,None,376194,1828f7,2564,
376392,Nudibranchia,376320,5edece,2564,
376393,"Oblique burrow",376285,fa4e05,2564,
376394,Octopods,376235,4030f5,2564,
376395,Ophiuroids,376286,41faf8,2564,
376396,orange_anemone_msp1,376403,f29a02,2564,
376397,orange_blob_msp5,376463,f5a519,2564,
376399,"Organ pipe coral (Tubipora)",376203,fb23b3,2564,
