,anemone,banana_star_msp7,beige_bivalve_msp1,big_spotted_star_msp14,bivalve,blue_holoth_msp1,branching_red_algae_msp1,branching_red_algae_msp2,brittle_msp1,brown_star_msp9,Bryozoa,carrot_star_msp4,chunky_orange_star_msp16,chunky_star_msp11,desmarestia_msp1,desmarestia_msp2,echiura_msp1,edwardsiella_msp4,encrusting_algae,encrusting_sponge,erect_sponge,filamentous_filiform_algae,filamentous_green_algae,fine_orange_msp4,finger_sponge_msp1,fish,glitter_star_msp3,glypt_ant,green_encr_algae,green_sheet_algae_msp1,himantothallus_msp1,laminate_brown,large_yellow_msp3,laternula,light_brown_star_msp15,macroalgae,medium_yellow_star_msp13,mollusc,nacella,nudibranch,orange_anemone_msp1,orange_blob_msp5,orange_holoth_msp4,pale_yellow_ascidian_msp5,parborlasia_corrugatus,pink_encr_algae_msp1,pink_star_msp1,pycnogonid_msp1,red_brown_ascidian_msp4,red_or_brown_sheet_algae_msp0,red_sheet_msp1,skinny_white_star_msp12,skinny_yellow_star_msp10,small_pink_worm_msp1,small_white_worm_msp2,small_yellow_star_msp6,spiky_massive_msp9,spiky_yellow_msp7,sponges,starfish,sun_star_msp2,terebellidae,translucent_blob,urchin_msp1,wavy_msp3,white_amphipod_msp1,white_anemone_msp3,white_ascidian_msp3,white_bunny_msp1,white_holoth_msp2,white_massive_msp10,white_porcupine_msp2,white_snail,white_star_msp8,worm,yellow_anemone_msp2,yellow_ascidian_msp2,yellow_blob_msp2,yellow_brown_ascidian_msp1,yellow_finger_msp8,yellow_star_msp5
TANGO2_ROV10_3_068.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76799161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.22333648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051212934,0,0,0,0,0.23215493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TANGO2_ROV10_4_004.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.89958557,12.69292835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6772494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09646764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV10_4_013.png,0,0,0,0,0,0,0.339628648,0.109721665,0,0,0,0,0,0,0,6.117057806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.81074562,0,0,0,0,0,0,0,0,0,0,0.071821809,0,0,0,7.471158143,0,0,0,0,3.425920751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV10_4_025.png,0,0,0,0,0,0,5.788159848,0,0,0,0,0,0,0,0,12.99529021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.06815472,0,0,0,0,0,0,0,0,0,0,0.169989601,0,0,0,0.085052223,0,0,0,0,5.314879716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
TANGO2_ROV10_4_034.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963607912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97237517,0,0,0,0,8.744461681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
TANGO2_ROV10_4_042.png,0,0,0,0,0,0,7.022085675,0,0,0,0,0,0,0,0,0,0,0,0,0.907591504,0,0,0,0,0,0,0,0,0,0,14.92803148,0,0,0,0,0,0,0,0,0,0,0.130223281,0,0,0,1.852699134,0,0,0,0,7.4801219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.103136353,0,0,0
TANGO2_ROV10_4_052.png,0,0,0,0,0,0,0,0.744190127,0,0,0,0,0,0,0,0,0,0,0,1.208897824,0,0,0,0,0,0,0,0,0,0,0.30365645,0.804998319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614942479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV10_4_064.png,0,0,0,0,0,0,0.826319057,0,0,0,0,0,0,0,0,0.132523398,0,0,3.167981206,0.197440156,0,0,0,0,0,0,0,0,0,0,0,1.423349152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76123337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28017574,0,0,0
TANGO2_ROV10_5_004.png,0,0,0,1,0,0,3.886405604,0,0,0,0,0,0,0,0,0.824185694,0,0,0,0.598530802,0,0,0,0,0,0,0,0,0,0,41.78711685,0,0,0,0,0,0,0,0,0,0,0.153801361,0,0,0,3.353374354,0,0,0,0,9.064667244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.04698094,0,0,0
TANGO2_ROV13_1_066.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TANGO2_ROV13_2_012.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.94083579,0,0,0,0,0,0,0,0.131433512,27.79544268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.344510176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_2_016.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
TANGO2_ROV13_2_023.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.58115082,0,0,2.282252411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_2_027.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.99178736,0,0,0,0,0,0,0,0.99452426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.168520015,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_2_031.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.05213349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.899161853,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_2_033.png,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.68676995,0,0,0,0,0,0,0,0.239074718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12.8324901,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_2_039.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.70117953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_2_045.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.19520001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.121092533,2,0,0,0,0,0,0,0,0,0,0,0.836981883,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
TANGO2_ROV13_2_051.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.93882317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV13_3_058.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.39682187,0,0,0,0,0,0,0,0.058244788,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.385472595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
